id,ACS11_5yr_B01003001
g48453002432,272.727272727
g48453002434,132.121212121
g48453002436,312.727272727
g48453001914,221.212121212
g48453002209,585.454545455
g48453002212,66.0606060606
g48453002207,397.575757576
g48453002210,362.424242424
g48453001854,261.212121212
g48453002411,233.333333333
g48453002410,209.696969697
g48453002409,183.636363636
g48453002403,326.060606061
g48453002402,379.393939394
g48453002312,359.393939394
g48453002308,439.393939394
g48453002307,485.454545455
g48453002315,284.242424242
g48453002424,227.878787879
g48453002316,453.939393939
g48453002304,428.484848485
g48453001747,280.606060606
g48453002113,235.757575758
g48453002112,336.363636364
g48453002110,318.787878788
g48453002109,218.181818182
g48453002108,344.848484848
g48453002107,279.393939394
g48453002106,339.393939394
g48453002105,393.333333333
g48453002104,223.03030303
g48453002003,330.909090909
g48453002002,195.151515152
g48453002005,300.606060606
g48453002313,309.696969697
g48453001911,132.121212121
g48453001901,545.454545455
g48453001835,357.575757576
g48453001832,252.727272727
g48453001829,143.03030303
g48453001828,138.181818182
g48453001849,337.575757576
g48453001826,159.393939394
g48453001845,193.939393939
g48453001844,207.878787879
g48453002419,222.424242424
g48453001823,403.03030303
g48453001822,438.181818182
g48453001821,318.181818182
g48453001820,387.272727273
g48453001819,335.151515152
g48453001818,435.151515152
g48453001817,242.424242424
g48453001813,459.393939394
g48453001812,427.272727273
g48453001811,343.636363636
g48453001806,398.181818182
g48453001805,325.454545455
g48453001804,369.696969697
g48453001738,178.181818182
g48453001750,275.151515152
g48453002004,205.454545455
g48453001841,623.636363636
g48453001853,121.818181818
g48453001753,61.8181818182
g48453001719,132.121212121
g48453001718,196.96969697
g48453001713,261.818181818
g48453001712,206.666666667
g48453001707,382.424242424
g48453001706,173.333333333
g48453001705,154.545454545
g48453001605,335.757575758
g48453001604,144.242424242
g48453001603,201.818181818
g48453001602,221.212121212
g48453001305,323.03030303
g48453001304,150.303030303
g48453001303,185.454545455
g48453001200,284.242424242
g48453001100,309.090909091
g48453001000,287.272727273
g48453000902,427.878787879
g48453001505,171.515151515
g48453001504,240.0
g48453001503,250.303030303
g48453001501,159.393939394
g48453000901,126.060606061
g48453000804,182.424242424
g48453000803,169.696969697
g48453000802,296.96969697
g48453000801,154.545454545
g48453000700,113.333333333
g48453000604,572.121212121
g48453000603,430.909090909
g48453000601,845.454545455
g48453000500,311.515151515
g48453000402,192.727272727
g48453000401,229.696969697
g48453000302,292.121212121
g48453000204,167.878787879
g48453000203,153.333333333
g48453001754,222.424242424
g48453000102,96.9696969697
g48453000101,207.272727273
g48453002407,247.272727273
g48453001606,0.0
g48453002310,228.484848485
g48453980000,0.0
g48453001746,198.787878788
g48453002202,626.060606061
g48453002201,175.757575758
g48453002111,266.666666667
g48453001913,217.575757576
g48453001910,153.333333333
g48453001834,375.757575758
g48453001908,481.212121212
g48453001833,423.03030303
g48453001840,495.151515152
g48453001851,412.727272727
g48453001824,173.333333333
g48453001749,346.666666667
g48453001843,97.5757575758
g48453001729,287.878787879
g48453001728,260.0
