id,ACS11_5yr_B25046001,ACS11_5yr_B01003001,ACS11_5yr_B08013001,ACS11_5yr_B08134001
g48453002004,1376.0,2117,35325.0,1538
g48453001841,10495.0,16730,191985.0,8212
g48453001853,2377.0,3110,43830.0,1799
g48453001753,1066.0,1182,16350.0,912
g48453001719,3310.0,3830,28760.0,1564
g48453001718,4363.0,5440,46245.0,2530
g48453001713,2761.0,3895,41400.0,1893
g48453001712,2643.0,3703,37215.0,1835
g48453001707,3938.0,5221,43920.0,2469
g48453001706,3014.0,3570,37355.0,1950
g48453001705,3576.0,4594,36260.0,1976
g48453001605,3162.0,3817,29345.0,2099
g48453001604,3196.0,3855,24110.0,1472
g48453001603,3324.0,4448,31315.0,2108
g48453001602,2301.0,3234,37480.0,1630
g48453001305,3661.0,5551,44680.0,2481
g48453001304,3123.0,3790,42570.0,2254
g48453001303,1910.0,2358,24670.0,1320
g48453001200,3036.0,3632,37705.0,2277
g48453001100,2602.0,3800,33295.0,2089
g48453001000,1897.0,3751,32245.0,1620
g48453000902,2464.0,5348,35200.0,1944
g48453001505,3249.0,4220,51090.0,2362
g48453001504,3132.0,4644,44275.0,2391
g48453001503,2296.0,3862,52760.0,2416
g48453001501,4023.0,4850,43475.0,2451
g48453000901,959.0,1860,14205.0,790
g48453000804,1226.0,2528,22430.0,1095
g48453000803,1261.0,1953,25720.0,1110
g48453000802,1223.0,3127,31585.0,1116
g48453000801,602.0,1394,10010.0,575
g48453000700,841.0,1157,8265.0,620
g48453000604,2533.0,5032,28275.0,1839
g48453000603,4704.0,7128,35915.0,2310
g48453000601,876.0,9381,20300.0,1362
g48453000500,3512.0,4547,34600.0,2595
g48453000402,1658.0,2471,28115.0,1385
g48453000401,2434.0,3236,39335.0,2024
g48453000302,3995.0,5411,48225.0,3029
g48453000204,2344.0,2994,24090.0,1538
g48453000203,1071.0,1373,13405.0,698
g48453001754,3052.0,4587,47190.0,2261
g48453000102,2225.0,2526,16010.0,1045
g48453000101,2999.0,3801,25095.0,1694
g48453002407,3259.0,4247,62895.0,2265
g48453001606,0,0,0,0
g48453002310,1269.0,2624,21935.0,879
g48453980000,0,0,0,0
g48453001746,3011.0,3990,66855.0,2543
g48453002202,3658.0,8714,106825.0,3306
g48453002201,1027.0,1783,20570.0,783
g48453002111,2246.0,4365,40345.0,1529
g48453001913,3747.0,4801,30030.0,1583
g48453001910,3079.0,3970,30805.0,1825
g48453001834,5685.0,7687,93200.0,4450
g48453001908,5807.0,7791,68035.0,3210
g48453001833,4090.0,7388,92695.0,3494
g48453001840,4860.0,8435,105645.0,4048
g48453001851,6097.0,8443,99810.0,4813
g48453001824,1352.0,1817,21020.0,1048
g48453001749,4090.0,5659,68965.0,3182
g48453001843,1866.0,2280,26565.0,1430
g48453001729,3772.0,4666,64315.0,2720
g48453001728,4945.0,6516,90310.0,3484
g48453001745,1779.0,2491,36830.0,1178
g48453001766,5484.0,7102,108630.0,2868
g48453002421,4689.0,6325,110900.0,3934
g48453002423,3706.0,5753,73645.0,2884
g48453002314,2753.0,5256,68290.0,2913
g48453001748,3777.0,4892,68740.0,2496
g48453001912,3138.0,3943,32130.0,1455
g48453001752,2925.0,3757,51445.0,2460
g48453001760,8940.0,14133,166015.0,5822
g48453001742,3499.0,5108,70800.0,2631
g48453001847,4979.0,7293,77535.0,3809
g48453001848,3200.0,4532,46780.0,2395
g48453001755,4190.0,5813,51120.0,2402
g48453001756,2999.0,4020,41890.0,1929
g48453001764,5149.0,5557,88295.0,2378
g48453001737,7670.0,10085,124150.0,5241
g48453001740,2949.0,4098,51425.0,2270
g48453001765,10072.0,14221,168920.0,6509
g48453001714,9069.0,11986,162125.0,5889
g48453001403,1080.0,1315,12510.0,806
g48453001733,2819.0,3321,48625.0,1426
g48453001769,4148.0,5249,74165.0,2509
g48453001768,4727.0,5368,61820.0,2167
g48453001722,3408.0,4187,68905.0,3124
g48453001761,5258.0,6820,72860.0,3162
g48453001751,1591.0,1953,15460.0,827
g48453001716,3824.0,4843,55465.0,2516
g48453001842,4557.0,7342,82345.0,3387
g48453001741,3197.0,3615,39475.0,1303
g48453001850,2879.0,4303,60705.0,2786
g48453001839,4740.0,6200,75435.0,3500
g48453001401,2347.0,2913,36375.0,1895
g48453002422,3411.0,5270,59210.0,2486
g48453002413,1665.0,4355,45370.0,1669
g48453002412,2823.0,5508,58290.0,2252
g48491020603,5183.0,8103,76395.0,2938
g48491021507,5422.0,7669,110095.0,3994
g48491020804,5115.0,7385,80300.0,3108
g48491020707,2786.0,4421,57725.0,2384
g48491020505,1865.0,2935,31345.0,1215
g48491020408,2852.0,4119,54830.0,2249
g48491020411,4392.0,5974,74490.0,3294
g48491020409,3258.0,3967,58465.0,2265
g48491020506,5665.0,8649,97385.0,3782
g48491020507,1873.0,2775,31765.0,1329
g48491020317,1862.0,2793,29745.0,1295
g48491020508,3282.0,4529,59110.0,2655
g48491020311,1921.0,2611,35260.0,1588
g48491020318,6155.0,8254,104980.0,3887
g48491020326,4332.0,6070,74325.0,2660
g48491020324,3477.0,5378,65895.0,2338
g48491020328,4317.0,6573,87880.0,3042
g48491020319,3286.0,5245,71475.0,2366
g48491020321,1055.0,1649,24040.0,748
g48491020325,1997.0,3431,44230.0,1597
g48491020320,4855.0,6866,96680.0,3493
g48491020314,3073.0,5271,80820.0,2654
g48491020110,2895.0,3741,48990.0,1791
g48491020604,3081.0,4850,67095.0,2553
g48491020109,2585.0,2631,35510.0,1019
g48491021601,2173.0,2754,33780.0,1258
g48491020803,2704.0,3926,42590.0,1678
g48491020805,4458.0,6747,77860.0,2950
g48491020202,2966.0,4536,63345.0,1959
g48491020204,3627.0,4497,68580.0,2067
g48491020112,2386.0,3069,32570.0,1214
g48491021602,2492.0,3451,41805.0,1532
g48491021603,1381.0,1816,18415.0,733
g48491020106,2580.0,2981,38710.0,1156
g48491020114,2860.0,4992,41060.0,1957
g48491020108,2538.0,2961,32395.0,1341
g48491020406,4497.0,5949,93705.0,3856
g48491020405,4057.0,5726,78300.0,2991
g48491020504,5433.0,8648,104015.0,4544
g48491020701,1426.0,2489,23395.0,1144
g48491020602,3341.0,5175,56825.0,2574
g48491020704,3873.0,5278,63450.0,2844
g48491021502,2551.0,4914,50270.0,2421
g48491021503,2603.0,3912,52355.0,2061
g48491020403,1388.0,1920,18105.0,823
g48491021203,1906.0,2967,32795.0,1100
g48491020503,3517.0,4720,54965.0,2383
g48491020302,1934.0,2644,33465.0,1186
g48491021000,1725.0,3130,29385.0,1037
g48491021401,5411.0,9433,82090.0,4277
g48491021201,2176.0,2766,41610.0,1352
g48491021100,1658.0,2695,28270.0,945
g48491020404,2842.0,3406,49480.0,1945
g48491021202,2114.0,2979,41770.0,1479
g48491020703,6585.0,11194,104795.0,4877
g48491021403,2211.0,3692,44440.0,1674
g48491020310,2069.0,2345,32010.0,1072
g48491020900,3424.0,4020,59335.0,1847
g48491021300,2406.0,3631,39240.0,1387
g48491021402,2002.0,4156,36075.0,1584
g48491020301,3734.0,5421,77600.0,2321
g48491020113,1861.0,2433,30960.0,1323
g48491020509,4715.0,6892,88715.0,3330
g48491020605,4415.0,6752,79545.0,3048
g48491020312,4120.0,6309,93140.0,2975
g48491020410,4224.0,6027,67095.0,3074
g48491020316,2140.0,3202,33735.0,1479
g48491020323,1696.0,2718,35175.0,1212
g48491020327,2006.0,2549,31935.0,1237
g48491020322,6221.0,8383,105840.0,4316
g48491020313,5325.0,8235,102120.0,3935
g48491020315,2347.0,3427,33290.0,1361
g48491020510,6247.0,9332,115470.0,4077
g48491020708,4291.0,6269,58405.0,2606
g48491020706,0.0,0,42940.0,1786
g48491021505,4917.0,6792,84880.0,3854
g48491020807,4048.0,6589,72660.0,3146
g48491020809,3758.0,5565,77120.0,2681
g48491020115,0.0,0,26755.0,878
g48491020111,2119.0,2805,28780.0,977
g48491020105,2789.0,3489,15805.0,736
g48491020203,2036.0,2565,8400.0,198
g48491020201,1193.0,1459,18245.0,694
g48491020107,0.0,0,7925.0,423
g48491021508,4120.0,6047,69455.0,2872
g48491020808,1194.0,1482,17865.0,645
g48491021506,1811.0,2400,31160.0,1141
g48491020806,0.0,0,19920.0,791
g48491021504,2931.0,4787,54655.0,2054
g48021950501,3857.0,7537,89800.0,2969
g48021950801,3459.0,6149,82415.0,2080
g48021950802,4761.0,7290,123920.0,2836
g48021950502,4809.0,5692,86305.0,2565
g48021950700,2648.0,4260,39305.0,1686
g48021950600,3427.0,4350,57485.0,1733
g48021950200,5555.0,8048,121115.0,4000
g48021950100,7103.0,9742,146645.0,4203
g48021950300,9301.0,12147,189900.0,5344
g48021950400,5681.0,8153,115975.0,3896
g48055960102,2619.0,3749,68060.0,1625
g48055960101,3679.0,5822,74435.0,2028
g48055960500,3631.0,7069,66770.0,2590
g48055960700,3692.0,5785,70170.0,2258
g48055960600,1848.0,2328,37155.0,986
g48055960400,1922.0,3590,41635.0,1622
g48055960300,2535.0,3964,47735.0,1561
g48055960200,2112.0,5488,40925.0,1557
