id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48453002106,95.1515151515,153.333333333,39.3939393939,153.333333333
g48453002105,143.03030303,227.878787879,98.7878787879,227.878787879
g48453002104,151.515151515,140.0,47.8787878788,140.0
g48453002003,136.96969697,171.515151515,56.3636363636,171.515151515
g48453002002,136.363636364,141.818181818,35.7575757576,141.818181818
g48453002005,177.575757576,183.03030303,90.9090909091,183.03030303
g48453002313,146.060606061,204.848484848,72.7272727273,204.848484848
g48453001911,138.787878788,126.666666667,9.09090909091,126.666666667
g48453001901,470.303030303,501.818181818,38.1818181818,501.818181818
g48453001835,177.575757576,203.03030303,0.0,203.03030303
g48453001832,130.909090909,130.303030303,20.6060606061,130.303030303
g48453001829,133.333333333,155.757575758,13.9393939394,155.757575758
g48453001828,107.272727273,101.818181818,4.24242424242,101.818181818
g48453001849,229.696969697,230.303030303,106.666666667,230.303030303
g48453001826,89.696969697,84.2424242424,17.5757575758,84.2424242424
g48453001845,101.212121212,113.333333333,0.0,113.333333333
g48453001844,122.424242424,129.090909091,35.7575757576,129.090909091
g48453002419,122.424242424,129.696969697,70.303030303,129.696969697
g48453001823,210.303030303,261.818181818,53.3333333333,261.818181818
g48453001822,216.363636364,307.272727273,137.575757576,307.272727273
g48453001821,158.787878788,215.151515152,66.6666666667,215.151515152
g48453001820,209.696969697,275.757575758,108.484848485,275.757575758
g48453001819,147.272727273,193.333333333,72.1212121212,193.333333333
g48453001818,212.121212121,315.151515152,60.0,315.151515152
g48453001817,141.212121212,138.787878788,57.5757575758,138.787878788
g48453001813,189.696969697,253.333333333,124.848484848,253.333333333
g48453001812,218.181818182,336.96969697,107.878787879,336.96969697
g48453001811,187.272727273,247.272727273,35.1515151515,247.272727273
g48453001806,178.181818182,267.272727273,81.8181818182,267.272727273
g48453001805,167.878787879,227.878787879,34.5454545455,227.878787879
g48453001804,192.727272727,263.636363636,59.3939393939,263.636363636
g48453001738,177.575757576,188.484848485,3.63636363636,188.484848485
g48453001750,196.363636364,210.303030303,30.9090909091,210.303030303
g48453002004,144.848484848,160.606060606,46.0606060606,160.606060606
g48453001841,324.242424242,367.878787879,35.7575757576,367.878787879
g48453001853,100.606060606,115.151515152,19.3939393939,115.151515152
g48453001753,62.4242424242,56.9696969697,13.9393939394,56.9696969697
g48453001719,96.9696969697,101.818181818,0.0,101.818181818
g48453001718,156.96969697,132.121212121,86.6666666667,132.121212121
g48453001713,132.121212121,137.575757576,33.3333333333,137.575757576
g48453001712,132.121212121,149.090909091,69.0909090909,149.090909091
g48453001707,155.757575758,162.424242424,24.2424242424,162.424242424
g48453001706,126.666666667,147.878787879,26.0606060606,147.878787879
g48453001705,129.090909091,139.393939394,0.0,139.393939394
g48453001605,180.606060606,219.393939394,38.1818181818,219.393939394
g48453001604,118.787878788,128.484848485,11.5151515152,128.484848485
g48453001603,121.212121212,119.393939394,16.9696969697,119.393939394
g48453001602,121.818181818,140.606060606,63.6363636364,140.606060606
g48453001305,136.363636364,157.575757576,77.5757575758,157.575757576
g48453001304,142.424242424,124.242424242,30.9090909091,124.242424242
g48453001303,93.9393939394,133.939393939,28.4848484848,133.939393939
g48453001200,206.666666667,226.666666667,60.6060606061,226.666666667
g48453001100,167.878787879,223.03030303,31.5151515152,223.03030303
g48453001000,115.757575758,150.909090909,74.5454545455,150.909090909
g48453000902,139.393939394,224.242424242,51.5151515152,224.242424242
g48453001505,154.545454545,165.454545455,60.6060606061,165.454545455
g48453001504,115.757575758,126.666666667,70.303030303,126.666666667
g48453001503,133.939393939,231.515151515,91.5151515152,231.515151515
g48453001501,140.0,152.727272727,21.2121212121,152.727272727
g48453000901,76.3636363636,72.7272727273,26.0606060606,72.7272727273
g48453000804,98.1818181818,113.333333333,20.0,113.333333333
g48453000803,115.757575758,133.333333333,46.0606060606,133.333333333
g48453000802,138.787878788,147.272727273,63.0303030303,147.272727273
g48453000801,80.0,82.4242424242,9.09090909091,82.4242424242
g48453000700,71.5151515152,63.0303030303,20.0,63.0303030303
g48453000604,169.696969697,292.727272727,45.4545454545,292.727272727
g48453000603,198.181818182,258.181818182,40.6060606061,258.181818182
g48453000601,100.0,209.090909091,41.2121212121,209.090909091
g48453000500,184.242424242,236.363636364,88.4848484848,236.363636364
g48453000402,96.3636363636,149.696969697,67.8787878788,149.696969697
g48453000401,151.515151515,164.242424242,70.303030303,164.242424242
g48453000302,221.212121212,204.848484848,120.0,204.848484848
g48453000204,113.939393939,103.03030303,41.8181818182,103.03030303
g48453000203,84.8484848485,96.9696969697,51.5151515152,96.9696969697
g48453001754,155.757575758,169.090909091,44.8484848485,169.090909091
g48453000102,84.8484848485,101.818181818,13.9393939394,101.818181818
g48453000101,128.484848485,124.242424242,0.0,124.242424242
g48453002407,121.212121212,138.181818182,9.09090909091,138.181818182
g48453001606,0.0,0.0,0.0,0.0
g48453002310,94.5454545455,111.515151515,16.3636363636,111.515151515
g48453980000,0.0,0.0,0.0,0.0
g48453001746,148.484848485,184.242424242,18.1818181818,184.242424242
g48453002202,282.424242424,298.181818182,60.0,298.181818182
g48453002201,90.303030303,97.5757575758,34.5454545455,97.5757575758
g48453002111,116.96969697,136.363636364,62.4242424242,136.363636364
g48453001913,134.545454545,121.818181818,1.81818181818,121.818181818
g48453001910,112.121212121,120.606060606,40.0,120.606060606
g48453001834,292.121212121,260.606060606,67.2727272727,260.606060606
g48453001908,189.696969697,230.303030303,18.1818181818,230.303030303
g48453001833,235.757575758,298.787878788,32.1212121212,298.787878788
g48453001840,259.393939394,310.303030303,49.696969697,310.303030303
g48453001851,312.121212121,284.242424242,0.0,284.242424242
g48453001824,76.3636363636,109.696969697,12.1212121212,109.696969697
g48453001749,176.96969697,220.0,20.0,220.0
g48453001843,76.9696969697,80.6060606061,21.8181818182,80.6060606061
g48453001729,151.515151515,184.848484848,16.9696969697,184.848484848
g48453001728,251.515151515,218.181818182,41.8181818182,218.181818182
g48453001745,110.909090909,112.121212121,18.7878787879,112.121212121
g48453001766,249.696969697,230.909090909,0.0,230.909090909
g48453002421,280.606060606,270.909090909,0.0,270.909090909
g48453002423,139.393939394,179.393939394,27.2727272727,179.393939394
g48453002314,164.848484848,236.96969697,149.696969697,236.96969697
g48453001748,152.121212121,147.878787879,16.9696969697,147.878787879
g48453001912,113.333333333,118.787878788,0.0,118.787878788
g48453001752,160.606060606,205.454545455,86.0606060606,205.454545455
g48453001760,402.424242424,413.939393939,0.0,413.939393939
g48453001742,176.96969697,223.636363636,27.2727272727,223.636363636
g48453001847,210.303030303,164.848484848,21.8181818182,164.848484848
g48453001848,141.212121212,163.636363636,10.9090909091,163.636363636
g48453001755,114.545454545,130.909090909,9.09090909091,130.909090909
g48453001756,138.181818182,139.393939394,21.8181818182,139.393939394
