id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48453002407,1754,2363,14,2363
g48453001606,0,0,0,0
g48453002310,667,895,22,895
g48453980000,0,0,0,0
g48453001746,1881,2592,20,2592
g48453002202,2285,3362,127,3362
g48453002201,572,800,64,800
g48453002111,969,1589,177,1589
g48453001913,1510,1983,1,1983
g48453001910,1657,1929,58,1929
g48453001834,3772,4570,102,4570
g48453001908,2621,3644,18,3644
g48453001833,2580,3647,65,3647
g48453001840,3086,4129,87,4129
g48453001851,3938,5039,0,5039
g48453001824,786,1078,15,1078
g48453001749,2574,3341,25,3341
g48453001843,1300,1445,32,1445
g48453001729,2461,2980,24,2980
g48453001728,3028,3897,93,3897
g48453001745,972,1236,21,1236
g48453001766,2367,3180,0,3180
g48453002421,3482,4015,0,4015
g48453002423,2210,3115,63,3115
g48453002314,1647,2958,607,2958
g48453001748,2207,2723,18,2723
g48453001912,1318,1645,0,1645
g48453001752,1656,2547,351,2547
g48453001760,5330,6551,0,6551
g48453001742,2096,3102,32,3102
g48453001847,3316,4027,27,4027
g48453001848,1973,2566,15,2566
g48453001755,2216,2594,10,2594
g48453001756,1785,2079,38,2079
g48453001764,2039,2817,6,2817
g48453001737,4756,5794,17,5794
g48453001740,1995,2380,19,2380
g48453001765,5869,7298,23,7298
g48453001714,5218,6604,0,6604
g48453001403,644,863,17,863
g48453001733,1136,1565,21,1565
g48453001769,2059,2774,115,2774
g48453001768,1942,2683,0,2683
g48453001722,2348,3385,256,3385
g48453001761,2903,3504,10,3504
g48453001751,770,906,0,906
g48453001716,2231,2988,50,2988
g48453001842,2693,3449,32,3449
g48453001741,1182,1494,0,1494
g48453001850,2165,2847,135,2847
g48453001839,3211,3601,62,3601
g48453001401,1391,2044,151,2044
g48453002422,1928,2542,193,2542
g48453002413,1055,1669,7,1669
g48453002412,1647,2312,92,2312
g48491020603,2664,3368,0,3368
g48491021507,3518,4083,0,4083
g48491020804,2826,3541,0,3541
g48491020707,1844,2448,14,2448
g48491020505,1119,1341,19,1341
g48491020408,1841,2326,0,2326
g48491020411,2943,3533,27,3533
g48491020409,2029,2454,39,2454
g48491020506,3370,4175,0,4175
g48491020507,1279,1387,0,1387
g48491020317,1117,1382,0,1382
g48491020508,2363,2920,40,2920
g48491020311,1395,1668,90,1668
g48491020318,3552,4227,14,4227
g48491020326,2308,2884,58,2884
g48491020324,2064,2489,0,2489
g48491020328,2444,3265,100,3265
g48491020319,2071,2499,48,2499
g48491020321,599,761,44,761
g48491020325,1453,1708,0,1708
g48491020320,2976,3819,13,3819
g48491020314,1949,2699,0,2699
g48491020110,1579,2066,0,2066
g48491020604,2200,2667,0,2667
g48491020109,845,1125,0,1125
g48491021601,1017,1287,0,1287
g48491020803,1403,1801,0,1801
g48491020805,2742,3213,11,3213
g48491020202,1604,2129,0,2129
g48491020204,1552,2393,0,2393
g48491020112,1082,1447,0,1447
g48491021602,1285,1580,0,1580
g48491021603,674,785,0,785
g48491020106,1021,1372,0,1372
g48491020114,1690,2001,0,2001
g48491020108,1220,1438,0,1438
g48491020406,3119,4038,102,4038
g48491020405,2501,3184,84,3184
g48491020504,4018,4632,20,4632
g48491020701,861,1154,0,1154
g48491020602,2023,2669,0,2669
g48491020704,2461,2975,0,2975
g48491021502,1753,2445,0,2445
g48491021503,1581,2176,0,2176
g48491020403,745,894,0,894
g48491021203,853,1184,12,1184
g48491020503,2099,2524,0,2524
g48491020302,1053,1261,46,1261
g48491021000,774,1090,0,1090
g48491021401,3583,4385,0,4385
g48491021201,1207,1368,0,1368
g48491021100,662,1001,0,1001
g48491020404,1673,2037,43,2037
g48491021202,1312,1529,0,1529
g48491020703,4131,5113,0,5113
g48491021403,1253,1733,0,1733
g48491020310,969,1137,11,1137
g48491020900,1508,1962,5,1962
g48491021300,1182,1519,0,1519
g48491021402,1136,1608,0,1608
g48491020301,1856,2465,0,2465
g48491020113,1155,1376,0,1376
g48491020509,2931,3481,107,3481
g48491020605,2463,3270,13,3270
g48491020312,2286,3132,31,3132
g48491020410,2667,3240,41,3240
g48491020316,1118,1577,0,1577
