id,ACS11_5yr_B25046001,ACS11_5yr_B01003001,ACS11_5yr_B08013001,ACS11_5yr_B08134001
g48453001602,144.848484848,221.212121212,5705.45454545,135.757575758
g48453001305,168.484848485,323.03030303,3336.96969697,162.424242424
g48453001304,118.787878788,150.303030303,3558.18181818,133.939393939
g48453001303,141.212121212,185.454545455,3321.81818182,114.545454545
g48453001200,238.787878788,284.242424242,4237.57575758,239.393939394
g48453001100,255.151515152,309.090909091,4987.87878788,210.303030303
g48453001000,138.787878788,287.272727273,4531.51515152,147.272727273
g48453000902,204.242424242,427.878787879,4251.51515152,196.363636364
g48453001505,170.909090909,171.515151515,5393.33333333,167.272727273
g48453001504,147.272727273,240.0,3941.21212121,113.939393939
g48453001503,132.727272727,250.303030303,5597.57575758,221.212121212
g48453001501,163.636363636,159.393939394,3746.66666667,144.848484848
g48453000901,86.6666666667,126.060606061,2137.57575758,71.5151515152
g48453000804,104.242424242,182.424242424,2977.57575758,112.727272727
g48453000803,128.484848485,169.696969697,4507.27272727,133.939393939
g48453000802,126.666666667,296.96969697,6379.39393939,153.939393939
g48453000801,80.6060606061,154.545454545,1541.81818182,82.4242424242
g48453000700,87.2727272727,113.333333333,1167.27272727,60.6060606061
g48453000604,284.242424242,572.121212121,5912.72727273,292.121212121
g48453000603,318.181818182,430.909090909,4597.57575758,259.393939394
g48453000601,116.363636364,845.454545455,3329.6969697,170.909090909
g48453000500,224.848484848,311.515151515,4321.81818182,232.121212121
g48453000402,136.96969697,192.727272727,3055.15151515,147.878787879
g48453000401,196.96969697,229.696969697,4469.09090909,166.060606061
g48453000302,234.545454545,292.121212121,5166.66666667,215.757575758
g48453000204,134.545454545,167.878787879,3015.15151515,107.878787879
g48453000203,125.454545455,153.333333333,3245.45454545,99.3939393939
g48453001754,131.515151515,222.424242424,5316.36363636,167.878787879
g48453000102,112.727272727,96.9696969697,2229.6969697,96.3636363636
g48453000101,185.454545455,207.272727273,2258.18181818,131.515151515
g48453002407,131.515151515,247.272727273,4592.72727273,155.757575758
g48453001606,0,0,0,0
g48453002310,115.151515152,228.484848485,3941.21212121,111.515151515
g48453980000,0,0,0,0
g48453001746,124.848484848,198.787878788,6987.87878788,184.242424242
g48453002202,253.333333333,626.060606061,15441.2121212,308.484848485
g48453002201,98.1818181818,175.757575758,3262.42424242,96.3636363636
g48453002111,166.060606061,266.666666667,4680.60606061,135.151515152
g48453001913,175.757575758,217.575757576,2939.39393939,129.090909091
g48453001910,116.363636364,153.333333333,3253.33333333,120.0
g48453001834,290.303030303,375.757575758,7770.3030303,267.878787879
g48453001908,227.272727273,481.212121212,5190.90909091,215.757575758
g48453001833,251.515151515,423.03030303,20067.2727273,293.333333333
g48453001840,285.454545455,495.151515152,11189.6969697,307.878787879
g48453001851,334.545454545,412.727272727,7764.24242424,286.666666667
g48453001824,94.5454545455,173.333333333,2606.66666667,113.333333333
g48453001749,252.727272727,346.666666667,7649.09090909,214.545454545
g48453001843,90.9090909091,97.5757575758,2066.06060606,80.0
g48453001729,213.333333333,287.878787879,4249.6969697,149.090909091
g48453001728,224.242424242,260.0,8924.24242424,241.212121212
g48453001745,103.636363636,148.484848485,6667.87878788,109.696969697
g48453001766,309.090909091,424.848484848,11234.5454545,244.848484848
g48453002421,287.272727273,355.151515152,8619.39393939,270.303030303
g48453002423,198.787878788,552.727272727,5173.33333333,183.636363636
g48453002314,217.575757576,422.424242424,9285.45454545,232.121212121
g48453001748,183.03030303,246.060606061,5210.3030303,156.363636364
g48453001912,155.757575758,244.848484848,4363.03030303,117.575757576
g48453001752,229.090909091,273.333333333,5488.48484848,186.060606061
g48453001760,405.454545455,592.121212121,10122.4242424,415.757575758
g48453001742,238.787878788,367.878787879,6645.45454545,221.212121212
g48453001847,206.666666667,347.878787879,5077.57575758,178.787878788
g48453001848,139.393939394,236.96969697,5169.09090909,151.515151515
g48453001755,173.333333333,153.939393939,4172.72727273,120.606060606
g48453001756,156.96969697,204.242424242,3766.06060606,146.666666667
g48453001764,305.454545455,356.96969697,8978.78787879,172.121212121
g48453001737,155.151515152,190.909090909,5881.21212121,178.181818182
g48453001740,107.272727273,174.545454545,3583.03030303,106.666666667
g48453001765,272.121212121,383.03030303,9412.72727273,310.303030303
